id,group,item1,item2,item3,item4,item5,item6
1,male,-1.21,-0.6,0.17,0.96,0.66,0.98
2,male,-0.81,-0.44,0.09,0.7,-0.1,-0.06
3,male,0.51,-0.26,0.84,-0.39,-0.17,-0.51
4,male,1.95,1.45,0.48,-0.35,0.76,-0.04
5,male,-0.41,-0.93,-0.34,-0.08,-0.87,0.46
6,male,-0.68,-0.96,0.69,0.52,1.13,1.72
7,male,0.35,0.05,1.08,-0.7,0.77,-1.65
8,male,1.06,0.75,1.0,-0.92,-0.63,-1.33
9,male,1.65,2.19,2.21,1.18,0.09,0.52
10,male,1.13,0.1,0.81,1.68,1.09,1.06
11,male,1.39,0.43,1.26,0.46,1.34,1.41
12,male,-0.4,-0.56,0.07,2.12,1.44,1.69
13,male,-0.64,-0.44,0.55,0.34,1.25,0.38
14,male,0.03,-0.44,1.18,1.5,0.38,1.47
15,male,-0.17,-0.18,-0.18,1.13,1.42,1.23
16,male,-1.02,-1.13,-0.41,-1.29,-1.25,-0.72
17,male,0.23,1.08,0.7,0.2,-1.05,-0.23
18,male,-0.94,-1.64,-0.63,-0.54,0.47,-0.6
19,male,0.57,0.13,1.48,0.42,0.59,-0.41
20,male,1.24,2.41,2.52,0.07,-0.45,0.27
21,male,0.56,-1.06,0.48,-0.38,0.64,-0.42
22,male,-1.01,-1.09,-0.3,-1.33,-0.26,0.12
23,male,1.46,2.13,2.62,2.35,2.19,2.27
24,male,0.4,-0.39,0.03,-1.12,-0.73,-0.69
25,male,-0.14,-0.45,-0.52,0.75,1.45,0.2
26,male,0.1,1.05,1.11,1.38,1.23,1.33
27,male,0.6,0.36,0.95,-0.46,-0.07,-0.64
28,male,1.95,1.45,1.34,1.35,1.45,0.88
29,male,2.46,1.45,1.68,1.85,1.74,2.07
30,male,1.29,0.38,0.55,0.59,0.43,0.36
31,male,0.44,-0.16,0.67,-1.24,0.06,-0.29
32,male,0.92,-0.26,0.19,0.15,0.59,0.28
33,male,-0.48,-0.88,0.08,0.3,1.17,0.79
34,male,0.63,0.57,0.31,1.99,0.21,0.58
35,male,-0.06,-0.73,-0.2,-0.61,0.24,-0.12
36,male,-0.31,0.27,-0.09,0.58,0.02,0.85
37,male,0.36,-0.0,0.44,0.43,1.44,1.13
38,male,0.31,0.49,0.8,-0.4,-0.78,-0.07
39,male,0.27,-0.76,0.19,-1.54,-1.24,-1.39
40,male,0.96,0.63,-0.3,0.46,-0.71,-0.43
41,male,1.93,1.06,1.59,-1.54,-0.3,-1.78
42,male,0.32,-0.03,0.52,0.84,1.38,0.52
43,male,0.08,-0.04,0.28,0.2,0.35,0.85
44,male,-0.21,-1.05,-0.01,1.29,1.7,1.84
45,male,-0.08,-0.33,-0.07,-0.11,-0.0,-0.39
46,male,-0.3,-0.66,-0.0,0.44,0.24,1.03
47,male,1.2,1.31,1.18,0.78,1.32,0.47
48,male,0.66,0.24,1.41,0.2,1.99,1.48
49,male,1.52,0.12,0.09,0.04,0.41,0.02
50,male,0.21,1.24,-0.06,-0.23,0.78,0.42
51,male,0.3,0.44,0.52,0.08,-0.18,0.21
52,male,1.39,1.22,1.44,0.85,1.12,0.48
53,male,0.92,0.87,0.06,-0.73,-0.15,-0.37
54,male,0.65,-0.23,-0.47,-0.24,-0.96,-0.78
55,male,-0.76,-0.92,0.15,-0.57,-0.64,-0.44
56,male,1.13,1.75,2.35,0.95,1.65,1.13
57,male,0.58,1.06,0.28,-0.85,0.13,-0.77
58,male,0.65,1.29,1.09,-0.61,0.35,-0.16
59,male,-0.47,-0.31,-0.01,1.86,0.91,1.67
60,male,0.79,1.27,0.58,1.51,1.25,0.48
61,male,0.63,0.4,0.75,-0.28,1.44,0.07
