id,advertising_spend,brand_awareness,purchase_intention,product_quality
1,5.2,3.9,4.8,4.1
2,3.8,2.8,3.5,3.2
3,6.1,4.6,5.5,4.8
4,2.9,2.1,2.7,2.4
5,4.5,3.4,4.2,3.7
6,5.7,4.3,5.2,4.5
7,3.2,2.4,3.0,2.7
8,4.1,3.1,3.8,3.4
9,5.4,4.1,4.9,4.3
10,3.5,2.6,3.3,2.9
11,6.0,4.5,5.4,4.7
12,2.6,1.9,2.4,2.1
13,4.3,3.2,4.0,3.5
14,5.5,4.2,5.1,4.4
15,3.1,2.3,2.9,2.6
16,4.2,3.2,3.9,3.4
17,5.2,3.9,4.7,4.2
18,3.6,2.7,3.4,3.0
19,5.9,4.4,5.3,4.6
20,2.7,2.0,2.5,2.2
21,4.4,3.3,4.1,3.6
22,5.6,4.2,5.1,4.4
23,3.0,2.2,2.8,2.5
24,4.0,3.0,3.7,3.3
25,5.3,4.0,4.8,4.2
26,3.3,2.5,3.1,2.8
27,5.8,4.4,5.2,4.6
28,2.5,1.8,2.3,2.0
29,4.2,3.2,3.9,3.4
30,5.4,4.1,4.9,4.3
31,3.4,2.6,3.2,2.9
32,5.6,4.2,5.1,4.4
33,2.8,2.1,2.6,2.3
34,4.3,3.3,4.0,3.5
35,5.1,3.8,4.6,4.1
36,3.1,2.3,2.9,2.6
37,4.1,3.1,3.8,3.3
38,5.5,4.1,5.0,4.4
39,3.3,2.5,3.1,2.8
40,5.9,4.5,5.4,4.7
41,2.7,2.0,2.5,2.2
42,4.4,3.3,4.1,3.6
43,5.3,4.0,4.8,4.2
44,3.0,2.2,2.8,2.5
45,4.0,3.0,3.7,3.3
46,5.2,3.9,4.7,4.1
47,3.2,2.4,3.0,2.7
48,5.7,4.3,5.2,4.5
49,2.6,1.9,2.4,2.1
50,4.2,3.2,3.9,3.4
51,5.5,4.2,5.0,4.4
52,2.9,2.2,2.7,2.4
53,4.1,3.1,3.8,3.4
54,5.1,3.8,4.6,4.0
55,3.4,2.6,3.2,2.9
56,5.4,4.1,4.9,4.3
57,2.8,2.1,2.6,2.3
58,4.3,3.3,4.0,3.5
59,5.3,4.0,4.8,4.2
60,3.1,2.3,2.9,2.6
61,4.2,3.2,3.9,3.4
62,5.6,4.2,5.1,4.4
63,2.5,1.8,2.3,2.0
64,4.4,3.3,4.1,3.6
65,5.2,3.9,4.7,4.1
66,3.2,2.4,3.0,2.7
67,4.0,3.0,3.7,3.3
68,5.5,4.2,5.0,4.4
69,2.7,2.0,2.5,2.2
70,4.3,3.3,4.0,3.5
71,5.1,3.8,4.6,4.0
72,3.0,2.2,2.8,2.5
73,4.1,3.1,3.8,3.3
74,5.4,4.1,4.9,4.3
75,2.8,2.1,2.6,2.3
76,4.2,3.2,3.9,3.4
77,5.2,3.9,4.7,4.1
78,3.1,2.3,2.9,2.6
79,3.5,2.6,3.3,2.9
80,5.6,4.2,5.1,4.4
