id,transformational_leadership,employee_engagement,organizational_commitment,trust_climate
1,4.5,3.8,4.2,3.6
2,3.2,2.6,3.0,2.4
3,5.1,4.4,4.9,4.2
4,2.6,2.0,2.4,1.8
5,4.0,3.4,3.8,3.2
6,4.8,4.1,4.6,3.9
7,2.9,2.3,2.7,2.1
8,3.6,3.0,3.4,2.8
9,4.3,3.7,4.1,3.5
10,3.4,2.8,3.2,2.6
11,5.0,4.3,4.8,4.1
12,2.3,1.7,2.1,1.5
13,3.8,3.2,3.6,3.0
14,4.6,4.0,4.4,3.8
15,3.0,2.4,2.8,2.2
16,3.7,3.1,3.5,2.9
17,4.2,3.6,4.0,3.4
18,3.3,2.7,3.1,2.5
19,4.9,4.2,4.7,4.0
20,2.5,1.9,2.3,1.7
21,3.9,3.3,3.7,3.1
22,4.5,3.9,4.3,3.7
23,2.8,2.2,2.6,2.0
24,3.5,2.9,3.3,2.7
25,4.4,3.8,4.2,3.6
26,3.1,2.5,2.9,2.3
27,4.7,4.1,4.5,3.9
28,2.4,1.8,2.2,1.6
29,3.7,3.1,3.5,2.9
30,4.3,3.7,4.1,3.5
31,3.4,2.8,3.2,2.6
32,4.6,4.0,4.4,3.8
33,2.7,2.1,2.5,1.9
34,3.8,3.2,3.6,3.0
35,4.1,3.5,3.9,3.3
36,3.0,2.4,2.8,2.2
37,3.6,3.0,3.4,2.8
38,4.5,3.9,4.3,3.7
39,3.2,2.6,3.0,2.4
40,4.8,4.2,4.6,4.0
41,2.6,2.0,2.4,1.8
42,3.9,3.3,3.7,3.1
43,4.4,3.8,4.2,3.6
44,2.9,2.3,2.7,2.1
45,3.5,2.9,3.3,2.7
46,4.3,3.7,4.1,3.5
47,3.1,2.5,2.9,2.3
48,4.7,4.1,4.5,3.9
49,2.5,1.9,2.3,1.7
50,3.7,3.1,3.5,2.9
51,4.6,4.0,4.4,3.8
52,2.8,2.2,2.6,2.0
53,3.6,3.0,3.4,2.8
54,4.2,3.6,4.0,3.4
55,3.3,2.7,3.1,2.5
56,4.5,3.9,4.3,3.7
57,2.7,2.1,2.5,1.9
58,3.8,3.2,3.6,3.0
59,4.4,3.8,4.2,3.6
60,3.0,2.4,2.8,2.2
61,3.7,3.1,3.5,2.9
62,4.7,4.1,4.5,3.9
63,2.4,1.8,2.2,1.6
64,3.9,3.3,3.7,3.1
65,4.3,3.7,4.1,3.5
66,3.1,2.5,2.9,2.3
67,3.5,2.9,3.3,2.7
68,4.6,4.0,4.4,3.8
69,2.6,2.0,2.4,1.8
70,3.8,3.2,3.6,3.0
71,4.2,3.6,4.0,3.4
72,2.9,2.3,2.7,2.1
73,3.6,3.0,3.4,2.8
74,4.5,3.9,4.3,3.7
75,2.7,2.1,2.5,1.9
76,3.7,3.1,3.5,2.9
77,4.3,3.7,4.1,3.5
78,3.0,2.4,2.8,2.2
79,3.4,2.8,3.2,2.6
80,4.7,4.1,4.5,3.9
