id,teaching_quality,engagement,self_efficacy,achievement
1,2.98,3.18,2.24,49.75
2,3.64,3.31,3.55,56.34
3,3.01,2.84,3.07,46.39
4,3.23,3.01,2.98,51.93
5,3.53,3.92,3.55,54.62
6,2.53,3.06,3.02,54.84
7,2.9,3.04,2.88,50.25
8,3.51,2.77,3.18,53.89
9,4.4,4.98,4.06,60.66
10,3.51,4.23,3.01,55.72
11,2.32,1.59,1.35,37.24
12,4.36,3.7,3.44,52.49
13,3.99,3.35,3.73,52.76
14,2.89,3.07,2.92,54.97
15,3.6,3.04,2.84,49.7
16,4.08,4.01,3.58,59.28
17,3.08,3.1,3.03,56.01
18,3.42,3.25,2.74,53.28
19,3.03,3.26,2.37,52.49
20,2.43,2.39,2.85,44.4
21,3.44,3.44,2.86,56.08
22,4.7,3.5,2.98,56.9
23,2.46,2.57,2.62,50.08
24,3.32,3.36,2.87,55.62
25,3.1,3.31,2.9,51.74
26,3.37,3.29,2.76,53.68
27,4.63,4.34,4.15,62.66
28,4.24,4.09,3.77,60.33
29,3.56,3.1,3.07,46.62
30,3.5,3.62,3.74,56.03
31,4.24,3.97,3.27,51.51
32,2.72,2.36,2.75,47.8
33,3.96,3.8,3.86,60.23
34,2.98,2.98,2.7,45.02
35,4.04,4.3,3.76,56.34
36,4.37,3.12,3.3,54.77
37,3.04,3.68,3.59,53.7
38,3.43,3.25,2.93,47.98
39,4.6,4.63,4.31,57.96
40,5.16,5.4,4.6,61.93
41,2.81,3.13,2.61,49.51
42,4.37,3.46,4.11,62.56
43,2.51,2.19,2.3,43.1
44,3.29,2.27,2.51,53.67
45,2.61,2.72,2.16,48.83
46,3.32,4.1,3.59,54.63
47,3.94,3.56,2.9,54.09
48,3.36,3.42,3.31,51.93
49,3.84,4.38,3.37,61.53
50,3.31,3.01,3.82,54.82
51,4.6,4.55,3.41,58.3
52,3.08,2.62,2.11,47.55
53,3.97,3.94,3.46,53.55
54,2.71,2.67,2.32,46.92
55,3.48,3.08,2.95,49.42
56,3.5,3.65,3.39,55.83
57,2.18,2.37,2.52,48.75
58,2.22,2.62,2.98,48.46
59,3.42,3.57,3.36,56.05
60,3.56,3.55,3.01,52.46
61,4.5,4.07,3.68,56.3
62,4.13,3.55,3.72,53.5
63,2.65,2.94,2.85,50.72
64,4.35,3.88,3.77,54.75
65,4.51,4.41,4.09,60.46
66,2.87,2.88,2.99,50.47
67,3.6,2.98,3.07,50.03
68,2.63,2.78,2.07,48.85
69,4.18,3.9,3.24,52.57
70,3.38,2.4,2.74,51.45
71,3.25,3.08,3.05,52.76
72,4.38,4.07,3.47,55.47
73,3.65,4.18,3.51,52.96
74,2.8,2.12,2.54,43.25
75,2.51,1.97,1.9,46.06
76,2.45,2.02,2.36,44.95
77,3.85,3.99,3.56,52.32
78,3.4,3.58,3.07,48.69
79,4.38,3.9,3.48,56.6
80,4.32,4.13,3.61,59.42
81,5.22,5.21,4.68,61.26
82,6.5,5.07,4.5,63.54
83,4.8,4.53,3.53,59.42
84,3.94,3.63,2.98,51.42
85,3.15,3.21,2.85,53.33
86,2.74,2.23,2.2,50.32
87,3.04,4.06,3.61,51.82
88,2.83,3.08,2.49,56.24
89,2.71,3.17,3.44,52.12
90,2.7,2.78,2.86,52.25
91,3.55,2.92,2.98,49.57
92,1.75,1.95,1.62,43.96
93,5.06,5.29,4.26,61.68
94,4.05,4.26,3.59,56.73
95,5.27,4.65,4.01,61.6
96,3.96,3.36,3.19,50.33
97,3.28,4.05,3.74,55.83
98,2.75,2.8,3.12,48.96
99,4.66,3.71,3.49,61.85
100,1.89,2.8,1.93,44.92
